CENSUS REGION,DIAG. GROUP,AGE  ,SEX,RECIPIENTS
Northeast    ,CIRCUL     ,60-64,F  ,      5852
Northeast    ,CIRCUL     ,60-64,M  ,      5632
Northeast    ,CONGEN     , <12 ,F  ,      3543
Northeast    ,CONGEN     , <12 ,M  ,      4216
Northeast    ,CONGEN     ,13-17,F  ,       796
Northeast    ,CONGEN     ,13-17,M  ,       858
Northeast    ,CONGEN     ,18-21,F  ,       741
Northeast    ,CONGEN     ,18-21,M  ,       814
Northeast    ,CONGEN     ,22-25,F  ,       664
Northeast    ,CONGEN     ,22-25,M  ,       692
Northeast    ,CONGEN     ,26-29,F  ,       485
Northeast    ,CONGEN     ,26-29,M  ,       471
Northeast    ,CONGEN     ,30-39,F  ,       461
Northeast    ,CONGEN     ,30-39,M  ,       441
Northeast    ,CONGEN     ,40-49,F  ,       334
Northeast    ,CONGEN     ,40-49,M  ,       246
Northeast    ,CONGEN     ,50-59,F  ,       198
Northeast    ,CONGEN     ,50-59,M  ,       169
Northeast    ,CONGEN     ,60-64,F  ,        69
Northeast    ,CONGEN     ,60-64,M  ,        39
Northeast    ,DEVELOP    , <12 ,F  ,     10571
Northeast    ,DEVELOP    , <12 ,M  ,     24365
Northeast    ,DEVELOP    ,13-17,F  ,      4080
Northeast    ,DEVELOP    ,13-17,M  ,      8151
Northeast    ,DEVELOP    ,18-21,F  ,      1219
Northeast    ,DEVELOP    ,18-21,M  ,      2241
